sweep,epoch,selection_metric,n_runs,pearson_linear_probe,spearman_linear_probe,pearson_knn_probe,spearman_knn_probe,pearson_cifar10c,spearman_cifar10c
simclr-tau,199,rankme,7,-0.8479,-1.0,-0.873,-0.9643,-0.8618,-0.8929
simclr-tau,199,rerankme,7,0.7696,0.3929,0.7558,0.4286,0.601,0.5714
simclr-tau,201,rankme,7,-0.8544,-1.0,-0.8781,-0.9643,-0.8634,-0.8929
simclr-tau,201,rerankme,7,0.781,0.3929,0.7692,0.4286,0.6108,0.5714
simclr-tau,202,rankme,7,-0.8532,-1.0,-0.8779,-0.9643,-0.8531,-0.8929
simclr-tau,202,rerankme,7,0.777,0.3929,0.764,0.4286,0.6053,0.5714
simclr-tau,203,rankme,7,-0.8508,-1.0,-0.8769,-0.9643,-0.8481,-0.8929
simclr-tau,203,rerankme,7,0.776,0.3929,0.7617,0.4286,0.6084,0.5714
simclr-tau,204,rankme,7,-0.8552,-1.0,-0.88,-0.9643,-0.8578,-0.8929
simclr-tau,204,rerankme,7,0.7669,0.3929,0.7539,0.4286,0.6006,0.5714
simclr-tau,205,rankme,7,-0.847,-1.0,-0.8715,-0.9643,-0.8519,-0.8929
simclr-tau,205,rerankme,7,0.7757,0.3929,0.761,0.4286,0.6105,0.5714
simclr-tau,206,rankme,7,-0.8532,-1.0,-0.8782,-0.9643,-0.8521,-0.8929
simclr-tau,206,rerankme,7,0.7852,0.3929,0.7738,0.4286,0.6239,0.5714
simclr-tau,208,rankme,7,-0.8631,-1.0,-0.8848,-0.9643,-0.8687,-0.8929
simclr-tau,208,rerankme,7,0.7664,0.3929,0.752,0.4286,0.599,0.5714
simclr-tau,209,rankme,7,-0.8483,-1.0,-0.8708,-0.9643,-0.8523,-0.8929
simclr-tau,209,rerankme,7,0.768,0.3929,0.7531,0.4286,0.5991,0.5714
simclr-tau,210,rankme,7,-0.842,-1.0,-0.867,-0.9643,-0.8523,-0.8929
